Pointage chute para
t;x;y
(s);(m);(m)
0,040;5,75E-2;1,26E-1
0,080;1,10E-1;2,68E-1
0,120;1,60E-1;3,95E-1
0,160;2,11E-1;5,10E-1
0,200;2,56E-1;6,07E-1
0,240;3,05E-1;6,90E-1
0,280;3,55E-1;7,55E-1
0,320;4,04E-1;8,07E-1
0,360;4,52E-1;8,40E-1
0,400;5,01E-1;8,58E-1
0,440;5,51E-1;8,60E-1
0,480;5,99E-1;8,45E-1
0,520;6,47E-1;8,10E-1
0,560;6,95E-1;7,67E-1
0,600;7,42E-1;7,08E-1
0,640;7,93E-1;6,30E-1
0,680;8,40E-1;5,36E-1
0,720;8,89E-1;4,23E-1
0,760;9,41E-1;3,00E-1
0,800;9,89E-1;1,56E-1
0,840;1,04E+0;-1,37E-3
0,880;1,09E+0;-1,78E-1
