Erlen
t;x;y
(s);(m);(m)
0,000;0,00E+0;9,63E-4
0,040;3,85E-3;-9,63E-4
0,080;1,16E-2;-4,82E-3
0,120;2,22E-2;-1,06E-2
0,160;3,66E-2;-1,73E-2
0,200;5,20E-2;-2,60E-2
0,240;7,03E-2;-3,66E-2
0,280;9,34E-2;-4,82E-2
0,320;1,17E-1;-5,87E-2
0,360;1,45E-1;-7,32E-2
0,400;1,78E-1;-8,86E-2
0,440;2,12E-1;-1,03E-1
0,480;2,50E-1;-1,20E-1
0,520;2,91E-1;-1,41E-1
0,560;3,31E-1;-1,60E-1
0,600;3,78E-1;-1,81E-1
0,640;4,28E-1;-2,03E-1
0,680;4,81E-1;-2,27E-1
0,720;5,34E-1;-2,54E-1
0,760;5,90E-1;-2,80E-1
0,800;6,54E-1;-3,09E-1
0,840;7,13E-1;-3,36E-1
0,880;7,80E-1;-3,67E-1
0,920;8,51E-1;-4,01E-1
