Pointages AviMéca
t;x;y
(s);(m);(m)
0,000;0,0000E+0;-8,7756E-4
0,120;2,2817E-2;2,8082E-2
0,240;5,1776E-2;4,9144E-2
0,360;8,4246E-2;6,3185E-2
0,480;1,2023E-1;6,4940E-2
0,600;1,5708E-1;5,9674E-2
0,720;1,8517E-1;4,9144E-2
0,840;2,1237E-1;2,6327E-2
0,960;2,3431E-1;-8,7756E-4
1,080;2,4484E-1;-3,2470E-2
1,200;2,5098E-1;-6,6695E-2
1,320;2,4660E-1;-1,0180E-1
1,440;2,3431E-1;-1,3251E-1
1,560;2,1237E-1;-1,5972E-1
1,680;1,8341E-1;-1,8166E-1
1,800;1,5270E-1;-1,9482E-1
1,920;1,1847E-1;-2,0008E-1
2,040;8,5124E-2;-1,9657E-1
2,160;5,2654E-2;-1,8341E-1
2,280;2,5449E-2;-1,6235E-1
2,400;5,2654E-3;-1,3866E-1
2,520;-9,6532E-3;-1,0706E-1
2,640;-1,6674E-2;-7,6348E-2
2,760;-1,6674E-2;-4,4756E-2
2,880;-8,7756E-3;-1,3163E-2
