blabla
t;x;y
(s);(m);(m)
0,067;0;0,547
0,1;0,013;0,543
0,133;0,0281;0,536
0,167;0,0432;0,529
0,2;0,0583;0,521
0,233;0,0766;0,514
0,267;0,096;0,506
0,3;0,117;0,496
0,333;0,138;0,488
0,367;0,161;0,478
0,4;0,186;0,468
0,433;0,209;0,456
0,467;0,237;0,445
0,5;0,265;0,431
0,533;0,292;0,42
0,567;0,324;0,405
0,6;0,356;0,391
0,633;0,389;0,373
0,667;0,425;0,362
0,7;0,459;0,345
0,733;0,496;0,329
0,767;0,536;0,313
0,8;0,576;0,296
0,833;0,617;0,28
0,867;0,66;0,259
0,9;0,703;0,242
0,933;0,747;0,223
0,967;0,792;0,206
1,0;0,84;0,186
1,033;0,886;0,167
1,067;0,928;0,15
